Frequenz in Hz;Spitze-Spitze A in V;Spitze-Spitze B in mV; Phasenverschiebung in ms;;Frequenz in Hz;Spitze-Spitze A in V;Spitze-Spitze B in mV; Phasenverschiebung in ms
100;1,483;83,56;5,532;;100;1,5;14,72;3,845
200;1,5;194,2;4,539;;200;1,5;31,18;3,123
300;1,517;138,7;0,223;;300;1,5;44,17;2,402
400;1,5;102,3;0,306;;400;1,483;80,54;1,99
500;1,5;81,5;0,302;;500;1,5;172,3;1,96
700;1,5;60,68;0,243;;700;1,5;70,14;0,26
850;1,5;57,22;0,192;;850;1,5;49,36;0,256
1000;1,5;57,22;0,179;;1000;1,5;42,43;0,227
1200;1,5;57,22;0,167;;1200;1,5;32,04;0,192
1500;1,5;57,22;0,16;;1500;1,5;37,24;0,181
1700;1,5;57,22;0,155;;1700;1,5;33,77;0,163
2000;1,5;57,22;0,152;;2000;1,5;34,64;0,155
3000;1,5;67,62;0,15;;3000;1,5;42,43;0,139
4000;1,5;71,09;0,144;;4000;1,5;36,37;0,112
5000;1,5;22,54;0,152;;5000;1,5;49,36;0,166
6000;1,5;26,85;0,123;;6000;1,5;17,32;0,105
10000;1,5;26,85;0,0422;;10000;1,5;24,25;0,045
