Zeit;Kanal A
(ms);(mV)

-25,00699905;2,41941400
-25,00199905;2,79220000
-24,99699905;3,16437000
-24,99199905;4,65366600
-24,98699905;3,35014700
-24,98199905;3,72293300
-24,97699905;3,35014700
-24,97199905;2,41941400
-24,96699905;2,23363700
-24,96199905;2,41941400
-24,95699905;2,04724400
-24,95199905;1,11651100
-24,94699905;0,37217020
-24,94199905;0,00000000
-24,93699905;0,00000000
-24,93199905;-1,11651100
-24,92699905;-0,74434050
-24,92199905;-1,67507400
-24,91699905;-1,48868100
-24,91199905;-1,11651100
-24,90699905;-1,67507400
-24,90199905;-1,30290300
-24,89699905;-1,30290300
-24,89199905;-0,93073320
-24,88699905;-1,86146600
-24,88199905;-1,11651100
-24,87699905;-1,11651100
-24,87199906;-1,30290300
-24,86699906;-2,04724400
-24,86199906;-2,23363700
-24,85699906;-1,67507400
-24,85199906;-1,30290300
-24,84699906;-1,48868100
-24,84199906;-2,04724400
-24,83699906;-2,23363700
-24,83199906;-2,04724400
-24,82699906;-3,16437000
-24,82199906;-2,79220000
-24,81699906;-2,97797700
-24,81199906;-2,23363700
-24,80699906;-3,53654000
-24,80199906;-3,90871000
-24,79699906;-3,16437000
-24,79199906;-3,90871000
-24,78699906;-4,28149600
-24,78199906;-4,28149600
-24,77699906;-4,09510300
-24,77199906;-3,53654000
-24,76699906;-3,16437000
-24,76199906;-3,16437000
-24,75699906;-3,53654000
-24,75199906;-2,41941400
-24,74699906;-1,67507400
-24,74199906;-2,41941400
-24,73699906;-2,04724400
-24,73199906;-1,48868100
-24,72699906;-1,67507400
-24,72199906;-2,04724400
-24,71699906;-1,86146600
-24,71199906;-2,23363700
-24,70699906;-2,23363700
-24,70199906;-2,60580700
-24,69699906;-2,23363700
-24,69199906;-3,35014700
-24,68699906;-3,16437000
-24,68199906;-3,35014700
-24,67699906;-3,53654000
-24,67199906;-3,53654000
-24,66699906;-3,72293300
-24,66199906;-2,97797700
-24,65699906;-3,90871000
-24,65199906;-3,16437000
-24,64699906;-2,97797700
